Género;¿Te identificás como LGBT+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?;Rango Edad;Discapacidad;Máximo nivel de formación;Carrera;¿En qué tipo de universidad estudiaste tu carrera de grado?;País;Provincia donde trabajas;Trabajo;Rubro de la empresa;Cantidad de Empleados;Origen del capital;¿Cuántas personas integran el área de RRHH?;¿En qué puesto trabajás?;Tipo de contratación;¿Cuál es tu función principal en RRHH?;¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?;¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año);¿Cuántos años de experiencia tenés en RRHH?;¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones);¿Qué beneficios tenés?;¿Recibís bonos?;¿Tuviste ajustes por inflación en 2020?;¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2020?;Mes del último ajuste;¿Trabajás en proyectos independientes además de tu empleo?;¿Qué sistema de gestión de RRHH usan en tu empresa?;¿Cómo se llama el área en tu empresa?;¿Se podía tomar mate en las oficinas de tu empresa? (antes del COVID-19);¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?;¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?;¿Cuántos contactos tenés en LinkedIn? (poné 0 si no tenés cuenta de LinkedIn);¿Qué tan satisfecho estás con tu empresa?;¿Estás buscando trabajo?;¿Qué beneficios te gustaría tener?;Definí a RRHH con una sola palabra;¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?;¿Estás trabajando desde tu casa?;¿Qué elementos te proveyó la empresa para que puedas trabajar desde tu casa?;¿Cómo valorarías la gestión de tu empresa en este nuevo contexto?;¿Cómo estás registrado/a fiscalmente?;¿Hace cuántos años trabajás como freelance?;¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19);¿Exportás tus servicios?;Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?;¿Aceptás pagos en cuotas?;¿Trabajás con otros freelancers de tu mismo rubro?;¿Tu servicio principal está relacionado con búsqueda y selección?;¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?;¿Trabajás a riesgo?;¿Cuál es el coeficiente que cobrás por tus servicios?;El coeficiente lo calculás sobre:;¿Ofrecés garantía?;¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere);¿Cuál es el valor hora promedio que ofrecés? (moneda local)
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 101 y 250;Multinacional;2;Analista;Full time;Payroll / Liquidación de sueldos;0;0;4;58000;Medicina prepaga / Plan de salud, Horarios flexibles, Home office;No recibo bono;No tuve ajustes;0;;No;Bejerman;Capital Humano;Si, está permitido;No;0%;50;2;Sí, activamente;Idioma. ;Apasionante;Como te ves en 5 años? ;Si;Computadora / Laptop;1;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Comercio;Entre 2.501 y 5.000;Multinacional;15;Responsable;Full time;Capacitación y desarrollo;4;16;8;88000;Medicina prepaga / Plan de salud, Licencias extendidas, Frutas y snacks, Préstamos, Posgrados, Dto en compras día de cumpleaños libre ;Tres sueldos o más;1 solo;10;Febrero;No;Nexus ;Recursos Humanos;Si, está permitido;No;0%;500;3;No,  pero escucho ofertas;Horario flexible ;Servicio ;;Si;Computadora / Laptop, Silla ergonómica;3;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Hasta 51;Nacional;1;Responsable;Full time;Administración de personal;0;1;3;80000;No tengo beneficios adicionales;No recibo bono;1 solo;15;Agosto;No;No tenemos sistema de gestión;Administración ;Si, está permitido;No;0%;120;3;Sí, activamente;Programas de formación y home office;Estrategia;No recuerdo preguntas bizarras;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;Si;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Lic educacion;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Educación;Más de 10.000;Nacional;800;Supervisor;Part time;Capacitación y desarrollo;0;5;3;55000;Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Seguro de vida (adicionales a los de ley), Posgrados, Home office;No recibo bono;No tuve ajustes;0;Marzo;No;Enlatado propio;Oficina de Personal;Si, está permitido;Si;10%;0;3;No,  pero escucho ofertas;Abono internet gimnasio abono celular reintegros capacitacion netflix almuerzos comedor ;Potencial ;Tu piel está bronceada?;Si;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 101 y 250;Nacional;4;Selectora;Full time;Reclutamiento y selección;2;2;3;54200;Medicina prepaga / Plan de salud, Tarjeta de descuento, Frutas y snacks, Idiomas, Home office;No recibo bono;2 ajustes;30;Octubre;No;hiring room;Recursos Humanos;Si, está permitido;No;0%;6000;3;No,  pero escucho ofertas;Gym+ abono de cable e internet+ abono de linea;vocacion;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Abogacía;Universidad Pública;Paraguay;;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 251 y 500;Multinacional;6;HRBP;Full time;Generalista;0;4;15;131000;No tengo beneficios adicionales;No recibo bono;1 solo;12.8;Julio;No;Sherlock ;Capital Humano;Si, está permitido;No;0%;1430;3;Sí, activamente;Home office, flexibilidad horaria;Escuchar ;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Abono de celular;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 251 y 500;Multinacional;6;HRBP;Full time;Generalista;0;4;15;131000;No tengo beneficios adicionales;No recibo bono;1 solo;12.8;Julio;No;Sherlock ;Capital Humano;Si, está permitido;No;0%;1430;3;Sí, activamente;Home office, flexibilidad horaria;Escuchar ;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Abono de celular;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Uruguay;;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría en curso;Administración de Empresas;Universidad Privada;Paraguay;;Relación de Dependencia;Servicios financieros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;Más de 10.000;Multinacional;10;HRBP;Full time;Reclutamiento y selección;0;8;9;106000;Medicina prepaga / Plan de salud, Frutas y snacks, Seguro de vida (adicionales a los de ley);No recibo bono;2 ajustes;25;Agosto;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;Si;10%;6000;2;Sí, activamente;Bono, vacaciones extendidas, viernes flex, comedor, dia libre de cumpleaños ;Vocacion;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Función pública;Entre 5.001 y 10.000;Nacional;62;Director ( escalafón municipal);Plazo Fijo;Compensaciones y beneficios;9;15;8;129528;Tarjeta de descuento, Seguro de vida (adicionales a los de ley), Reintegros en capacitación;No recibo bono;2 ajustes;25;Octubre;Si, en emprendimiento relacionado con RRHH;Nexus Hr;Recursos Humanos;Si, está permitido;No;;;3;No,  pero escucho ofertas;Reconocimiento ;Servicio;No recuerdo;Si;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Abogacía;Universidad Privada;Panamá;;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Responsable inscripto;0;Casa;Si;Moneygram;Si, eventualmente;Si;No;;;;;;Asesoría legal;150
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría completa;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 501 y 1.000;Multinacional;24;Gerente;Full time;People Analytics;0;9;14;165000;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Abono de celular, Seguro de vida (adicionales a los de ley), Reintegros en capacitación, Home office;Un sueldo;2 ajustes;20;Septiembre;Si, en emprendimiento relacionado con RRHH;Cornerstone;People;Si, está permitido;No;10%;4000;4;No,  pero escucho ofertas;Internet;Talento;;Si;Computadora / Laptop, Silla ergonómica;4;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Ingeniería Industrial;Universidad Pública;Argentina;Santa Fe;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 51 y 100;Nacional;3;Analista;Plazo Fijo;Reclutamiento y selección;0;1;2;48000;Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Home office;No recibo bono;No tuve ajustes;0;;No;Enlatado propio;Capital Humano;Si, está permitido;No;;900;3;No,  pero escucho ofertas;Plan de carrera, becas para estudio;Socio;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;Si;Entre 36 y 40;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Otros;Entre 1.001 y 2.500;Nacional;7;Analista;Full time;Generalista;2;14;14;134000;Medicina prepaga / Plan de salud, Horarios flexibles, Préstamos, Combustible, Reintegros en capacitación, Home office, Comedor / Almuerzos, Charter / Servicio de transporte;Un sueldo;No tuve ajustes;34;Julio;No;Time Aware y Nexus HR;Oficina de Personal;Si, está permitido;No;10%;125;4;No estoy buscando cambiar;Bono por desempeño, Curso Inglés, Nutricionista, ;Nexo;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;2;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 501 y 1.000;Nacional;7;Analista;Tercerizado / Outsourced;Reclutamiento y selección;0;0;1;40000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;;Si, en emprendimiento no relacionado con RRHH;SAP / SuccessFactors;Capital Humano;Si, está permitido;No;0%;500;2;Sí, activamente;Relacion de dependencia. Prepaga.;Ayuda;No recuerdo;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 1.001 y 2.500;Multinacional;20;Gerente;Full time;Payroll / Liquidación de sueldos;7;4;10;232000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Frutas y snacks, Abono de celular, Seguro de vida (adicionales a los de ley), Idiomas, Home office;Un sueldo;2 ajustes;25;Octubre;No;Oracle HCM;Recursos Humanos;Si, está permitido;Si;60%;2000;3;No,  pero escucho ofertas;Cobertura por posgrados;Reactivos;-;Si;Computadora / Laptop;2;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 501 y 1.000;Multinacional;60;Supervisor;Full time;People Analytics;2;5;8;105000;Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Frutas y snacks, Reintegros en capacitación, Idiomas, Home office;No recibo bono;3 o más ajustes;28;Agosto;No;SAP / SuccessFactors;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Educación;Entre 1.001 y 2.500;Nacional;12;Analista;Full time;Generalista;0;2;9;90000;Tarjeta de descuento;No recibo bono;1 solo;15;Marzo;No;Softland;Recursos Humanos;Si, está permitido;No;0%;5000;3;No,  pero escucho ofertas;Bono;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Privada;Perú;;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Independiente ;2;Casa;No;No aplica;No;No;No;;;;;;Diseño organizacional;18
Femenino;No;Entre 31 y 35;Motriz;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios profesionales;Entre 2.501 y 5.000;Multinacional;16;Senior;Full time;Reclutamiento y selección;4;4;4;67000;Medicina prepaga / Plan de salud, Licencias extendidas, Gimnasio, Frutas y snacks, Abono de internet, Posgrados, Idiomas, Home office;Un sueldo;2 ajustes;25;Octubre;No;SAP / SuccessFactors;Talent Attraction and Acquisition;Si, está permitido;Si;10%;15055;3;No,  pero escucho ofertas;;relaciones;;Si;Computadora / Laptop, Silla ergonómica, Abono de internet;4;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Hasta 51;Multinacional;5;Administrativo;Full time;Generalista;0;0;4;54000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Idiomas, Home office;No recibo bono;1 solo;13.5;Julio;No;Bejerman;Recursos Humanos;Si, está permitido;No;20%;500;3;No,  pero escucho ofertas;Diferente horario laboral;Integracion;No se;Si;Computadora / Laptop, Silla ergonómica;4;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría en curso;Administración de Empresas;Universidad Privada;Chile;;Relación de Dependencia;Educación;Entre 251 y 500;Nacional;12;Jefe de Proyecto;Plazo Fijo;Implementación HRIS;0;0;5;1790000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;;Si, en proyectos ad honorem;PYR (Utilizado Sec. Público Chile);Gestión de Personas;Si, está permitido;No;;945;3;Sí, activamente;home office;Operación;¿Tienes hijos?;Si;No me enviaron ni reintegraron nada;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;2;Casa;Si;Payoneer;No;Si;No;;;;;;Puesto generalista, trabajando de forma fija para empresa del exterior dando soporte en temas de procesos, cultura, compensaciones, sourcing y selección ir, entre otras tareas.;1200
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Misiones;Relación de Dependencia;Hotelería, restauración, turismo;Entre 51 y 100;Nacional;1;Responsable;Plazo Fijo;Generalista;0;0;6;31000;Licencias extendidas, Frutas y snacks, Abono de celular, Préstamos, Comedor / Almuerzos;Menos de un sueldo;No tuve ajustes;0;;Si, en proyectos ad honorem;No tenemos sistema de gestión;Gestión de Personas;Si, está permitido;No;30%;500;3;No,  pero escucho ofertas;descuentos en viajes;empatia;;Voy rotando entre la oficina y el trabajo;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;Psicología;Universidad Pública;Paraguay;;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Hasta 51;Nacional;1;Responsable;Full time;Administración de personal;0;0;3;3500000;Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;Agosto;No;Oracle HCM;Recursos Humanos;Si, está permitido;No;0%;1350;1;Sí, activamente;Sábados libre, capacitaciones ;Burocrático;N/A;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Terciario completo;No estudié en la Universidad;No estudié en la Universidad;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 101 y 250;Multinacional;4;Analista;Full time;Administración de personal;0;2;10;72000;Medicina prepaga / Plan de salud, Frutas y snacks;No recibo bono;2 ajustes;27;Octubre;No;No tenemos sistema de gestión;Capital Humano;Si, está permitido;No;0%;2300;3;No,  pero escucho ofertas;Home Office;Lograr la mejor experiencia de nuestras personas ;De qué signo sos?;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Construcción;Entre 251 y 500;Nacional;6;Responsable;Full time;Generalista;1;3;4;70500;Medicina prepaga / Plan de salud, Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;Noviembre;Si, en proyectos ad honorem;MAP (K2B - GeneXus;Recursos Humanos;Si, está permitido;No;10%;2200;2;Sí, activamente;Formación;Desarrollo;;No;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 251 y 500;Nacional;15;Supervisor;Full time;Generalista;5;10;15;150;Horarios flexibles, Home office, Charter / Servicio de transporte;No recibo bono;No tuve ajustes;0;;No;No recuerdo nombre;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;2;Responsable;Full time;Administración de personal;0;2;11;102000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;20;Agosto;No;Tango;Recursos Humanos;No, está prohibido;No;0%;1000;4;No,  pero escucho ofertas;Home Office, bono, descuentos;Conflicto;Riquelme o Tevez?;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Comercio;Hasta 51;Nacional;1;Responsable;Part time;Generalista;0;0;10;30000;Horarios flexibles, Home office;No recibo bono;No tuve ajustes;0;Abril;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;1200;3;Sí, activamente;Horario flexible, gimnasio, prepaga, ;empatia ;Si pensaba tener hijos ahora. ;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 46 y 50;No tengo ninguna discapacidad;Universitario completo;Contador Público;Universidad Privada;Argentina;Tucumán;Relación de Dependencia;Servicios de salud;Hasta 51;Nacional;1;Gerente;Plazo Fijo;Administración de personal;10;1;20;78000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;1;Enero;Si, en emprendimiento no relacionado con RRHH;Bejerman;Sin nombre;No, está prohibido;No;;30;3;Sí, activamente;;Capital;;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Otros;Entre 1.001 y 2.500;Nacional;23;Analista;Full time;Capacitación y desarrollo;0;2;5;100000;Horarios flexibles, Gimnasio, Frutas y snacks, Préstamos, Posgrados, Home office, Plata en ropa y otros gastos personales;Un sueldo;2 ajustes;12;Octubre;No;SAP / SuccessFactors;Personas y bienestar;Si, está permitido;No;0%;2500;3;No,  pero escucho ofertas;Oportunidad de carrera;Servicio;;Si;Computadora / Laptop;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría en curso;Licenciatura en Comunicación Social;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Comercio;Entre 501 y 1.000;Nacional;7;Responsable;Full time;Comunicación interna;0;1;5;88020;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Préstamos, Home office;No recibo bono;2 ajustes;42;Septiembre;No;Bejerman;Recursos Humanos;Si, está permitido;No;0%;500;3;No,  pero escucho ofertas;Bono anual por objetivos;Personas;-;Si;No me enviaron ni reintegraron nada, La notebook me la dio la empresa, pero antes de la cuarentena. ;2;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Pública;Paraguay;;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Más de 10.000;Multinacional;8;HRBP;Plazo Fijo;Generalista;0;13;7;10700;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Abono de celular, Seguro de vida (adicionales a los de ley), Abono de internet, Préstamos, Home office;Menos de un sueldo;1 solo;15;Junio;No;SAP / SuccessFactors;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Contador Público;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios profesionales;Más de 10.000;Multinacional;30;Analista;Full time;Compensaciones y beneficios;0;1;3;79000;Medicina prepaga / Plan de salud, Gimnasio, Frutas y snacks, Comedor / Almuerzos;No recibo bono;1 solo;22.7;Julio;No;Payroll;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Servicios de salud;Entre 251 y 500;Nacional;5;Analista;Full time;Generalista;0;3;6;78000;No tengo beneficios adicionales;No recibo bono;1 solo;20;Septiembre;No;RH Pro;Gestión de Personas;Si, está permitido;No;10%;500;3;No,  pero escucho ofertas;Flexibilidad horaria, home office, descuentos;Volátil ;;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
